,Artist,Artist Link,Song,Song Link,Chinese Lyrics,English Lyrics,Author,Author Link
0,Namewee,https://lyricstranslate.com/en/namewee-lyrics.html,漂向北方 (Piào xiàng běi fāng),https://lyricstranslate.com/en/%E6%BC%82%E5%90%91%E5%8C%97%E6%96%B9-stranger-north.html,"漂向北方 别问我家乡
高耸古老的城墙 挡不住忧伤
我飘向北方 家人是否无恙
肩上沉重的行囊 盛满了惆怅 有人说他在老家欠了一堆钱 需要避避风头
有人说他练就了一身武艺却没机会崭露
有人失去了自我 手足无措四处漂流
有人为了梦想为了三餐为养家餬口 他住在燕郊区 残破的求职公寓
拥挤的大楼里 堆满陌生人都来自外地
他埋头写着履历 怀抱着多少憧憬
往返在九三零号公路 内心盼著奇蹟 忍着泪 (不听也不想 不敢回头望的遗憾)
掩著伤 (扛下了梦想 要毅然决然去流浪)
抬头看 (卸下了自尊 光环 过去多风光)
著斜阳 (就算再不堪 败仗 也不能投降) 亲爱的 (再见了南方 眺望最美丽的家乡)
在远方 (椰子树摇晃 梦境倒映着的幻象)
这城市 (雾霾太猖狂 不散 都看不清前方)
太迷惘 我漂向北方 别问我家乡
高耸古老的城墙 挡不住忧伤
我漂向北方 家人是否无恙
肩上沉重的行囊 盛满了惆怅
也是最后寄望 回不去的远方 Oh 空气太脏 太混浊 他说不喜欢
车太混乱 太匆忙 他还不习惯
人行道一双又一双 斜视冷漠的眼光
他经常将自己灌醉 强迫融入 这大染缸 走着脚步蹒跚 二锅头在摇晃
失意的人啊偶尔醉倒在那胡同陋巷
咀嚼爆肚涮羊 手中盛着一碗热汤
用力地 温暖著 内心里的不安 忍着泪 (不听也不想 不敢回头望的遗憾)
掩著伤 (扛下了梦想 要毅然决然去流浪)
抬头看 (卸下了自尊 光环 过去多风光)
著斜阳 (就算再不堪 败仗 也不能投降) 亲爱的 (再见了南方 眺望最美丽的家乡)
在远方 (椰子树摇晃 梦境倒映着的幻象)
这城市 (雾霾太猖狂 不散 都看不清前方)
太迷惘 我漂向北方 别问我家乡
高耸古老的城墙 挡不住忧伤
我漂向北方 家人是否无恙
肩上沉重的行囊 盛满了惆怅 就像那尘土飘散随着风向 谁又能带领着我一起飞翔
我站在天坛中央闭上眼 祈求一家人都平安 我漂向北方 别问我家乡
高耸古老的城墙 挡不住忧伤
我漂向北方 家人是否无恙
肩上沉重的行囊 盛满了惆怅 (我漂向北方)我站在天子脚下 被踩得喘不过气
(别问我家乡)走在前门大街 跟人潮 总会分歧
(高耸古老的城墙)或许我根本不属于这里 早就该离去
(挡不住忧伤)谁能给我致命的一击 请用力到彻底 (我漂向北方)这里是梦想的中心 但梦想都遥不可及
(家人是否无恙)这里是圆梦的圣地 但却总是扑朔迷离
(肩上沉重的行囊)多少人敌不过残酷的现实 从此销声匿迹
(盛满了惆怅)多少人陷入了昏迷 剩下一具 空壳尸体
(也是最后寄望) Rest In Peace
回不去的远方 Oh
漂向北方 别再问我家乡 ","Stranger in the north / Don't ask about my hometown
Even these towering old walls / Can't block the sadness
I'm a stranger in the north / How is my family doing?
Carrying on my shoulders a bag / Full of gloom Some said he'd gotten into trouble back home / And had to escape
Some say he'd trained for years / And came to show his skills
Some men have lost themselves / Helpless, lost, wandering
Some men work hard to fill their stomach and support their families Living near the outskirts of Beijing  / Desperately searching for a job and apartment
Crowded buildings / Filled with so many foreign faces
He hurriedly wrote a resume / With longing in his heart
Pacing back and forth 930th Avenue / Hoping for a miracle Hold in the tears (Don't listen and don't think / Don't look back and don't regret)
Hide the pain (Pursuing a dream / Searching with determination)
Raise your head (Let go of your pride / And past achievements)
See the setting sun (Even if it's unbearable / Defeat but never surrender) Loved ones (Farewell to the south / The most beautiful homeland)
Are far away (The swaying coconut trees / Dreamland reflecting his fantasies)
This city (The lingering haze is too thick / Can't see what's ahead)
Is too bewildering I'm a stranger in the north / Don't ask about my hometown
Even these towering old walls / Can't block the sadness
I'm a stranger in the north / How is my family doing?
Carrying on my shoulders a bag / Full of gloom
It's my last hope / Can't go back home Oh The air is filthy / Too turbid / He can't stand it
The traffic is chaotic / Too hasty / He's not used to it
The people on the sidewalk / With cold and cynical eyes
He took refuge in drink / Attempting to fit in to this society Staggering around / Erguotou liquor swaying in hand
Frustrated souls sometimes drunkenly collapse in that alleyway
Chewing a piece of lamb / Bowl of warm soup in hand
Desperately trying to dispel the angst inside Hold in the tears (Don't listen and don't think / Don't look back and don't regret)
Hide the pain (Pursuing a dream / Searching with determination)
Raise your head (Let go of your pride / And past achievements)
See the setting sun (Even if it's unbearable / Defeat but never surrender) Loved ones (Farewell to the south / The most beautiful homeland)
Are far away (The swaying coconut trees / Dreamland reflecting his fantasies)
This city (The lingering haze is too thick / Can't see what's ahead)
Is too bewildering (Farewell to the south / The most beautiful homeland) I'm a stranger in the north / Don't ask about my hometown
Even these towering old walls / Can't block the sadness
I'm a stranger in the north / How is my family doing?
Carrying on my shoulders a bag / Full of gloom Just like sand floating in the wind / Who can help me soar
I stand at the Temple of Heaven and pray that all is well at home I'm a stranger in the north / Don't ask about my hometown
Even these towering old walls / Can't block the sadness
I'm a stranger in the north / How is my family doing?
Carrying on my shoulders a bag / Full of gloom
It's my last hope / Can't go back home Oh (I'm a stranger in the north) It's like I'm standing at the emperor's feet / Suffocated and can't breathe
(Don't ask about my hometown) Even on the street outside my door / My differences result in arguments
(Even these towering old walls) Maybe I will never belong here / Should have left long ago
(Can't block the sadness) Can someone please just kill me now / And make it clean (I'm a stranger in the north) This is the land of dreams / But my dream is still out of reach
(How is my family doing?) This is the holy land of dreams / But so disorienting
(Carrying on my shoulders a bag) How many men fall to the harshness of reality / And disappear forever
(Full of gloom) How many men fall into a coma / Leaving only an empty shell behind
(It's my last hope) Rest In Peace
Can't go back home Oh
Stranger in the north / Don't ask about my hometown ",jhan,https://lyricstranslate.com/en/translator/jhan
1,Nick Chung,https://lyricstranslate.com/en/nick-chung-seng-chong-lyrics.html,恭喜恭喜 (Gōng xǐ gōng xǐ),https://lyricstranslate.com/en/%E6%81%AD%E5%96%9C%E6%81%AD%E5%96%9C-congratulations.html,"每条大街小巷
每个人的嘴里
见面第一句话
就是恭喜恭喜
恭喜恭喜恭喜你呀
恭喜恭喜恭喜你  冬天已到尽头
真是好的消息
温暖的春风
就要吹醒大地
恭喜恭喜恭喜你呀
恭喜恭喜恭喜你  浩浩冰雪融解
眼看梅花吐蕊
漫漫长夜过去
听到一声鸡啼
恭喜恭喜恭喜你呀
恭喜恭喜恭喜你  经过多少困难
历经多少磨练
多少心儿盼望
盼望春的消息
恭喜恭喜恭喜你呀
恭喜恭喜恭喜你 ","Everywhere on the streets,
The first phrase from people's mouths
When meeting is congratulations.
Congratulations, congratulations, congratulations to you
Congratulations, congratulations, congratulations to you  The winter has come to an end.
What good news!
The warm breeze of the spring
will wake up the earth.
Congratulations, congratulations, congratulations to you
Congratulations, congratulations, congratulations to you  The heavy snow has melted.
Soon the plum blossoms will spill out.
The endless nights have passed.
Hear the rooster's shrill crow.
Congratulations, congratulations, congratulations to you
Congratulations, congratulations, congratulations to you  After so much difficulty,
Experiencing so much discipline,
How many hearts are looking forward
To the news of spring?
Congratulations, congratulations, congratulations to you
Congratulations, congratulations, congratulations to you ",hankeat,https://lyricstranslate.com/en/translator/hankeat
2,Li Rong Hao,https://lyricstranslate.com/en/ronghao-li-lyrics.html,不將就 (Stubborn Love),https://lyricstranslate.com/en/bu-jiang-jiu-stubborn-love.html,"那時候 我以為愛的是生活
也算懂得 什麼適合 什麼不可
最近還是一樣 努力著 配合你的性格
你的追求者 你的坎坷 我開的車 算一算 虛度了多少個年頭
彷彿足夠 寫一套錯愛的春秋
如果以後 你還想為誰 浪費美好時候
眼淚只能在我的胸膛 毫無保留 互相折磨到白頭
悲傷堅決不放手
開始糾纏之後
才又被人放大了自由
你的暴烈太溫柔
感情又痛又享受
如果我說 不吻你不罷休
誰能逼我將就 你問我 為什麼頑固而專一
天下太大 總有人比你更合適
其實我覺得這樣不值 可沒選擇方式
你一出場 別人都顯得不過如此 互相折磨到白頭
悲傷堅決不放手
開始糾纏之後
才又被人放大了自由
你的暴烈太溫柔
感情又痛又享受
如果我說 不吻你不罷休
誰能逼我將就 互相折磨到白頭
悲傷堅決不放手
開始糾纏之後
才又被人放大了自由
你的暴烈太溫柔
感情又痛又享受
如果我說 不吻你不罷休
誰能逼我將就 他們不過將就 ","At that time, I assumed that what I loved was life
I also considered I understood what was suitable and what wasn’t
Recently, still hardworking as usual to accord with your character
Your suitors, your frustrations ,the car I drive Calculate how many wasted years
Seems like it is enough to write a spring and autumn period 1 of misplaced favors
If you are willing to waste good time for someone
There can only be tears on my chest There will be no reservation Torturing each other until our hairs are white
Determined to not let go of sadness
After beginning to become entangled
Only to have our freedom be taken by others again
Your violence is too gentle
Emotions are painful and enjoyable
If I say I cannot give up without kissing you
Who can force my will You ask me why I’m stubborn and single-minded
The world is so big, there has to be someone more suitable than you
Actually I feel that it is not worth it this way,there is no way to choose
When you appear other people all appear unimpressed Torturing each other until our hairs are white
Determined to not let go of sadness
After beginning to become entangled
Only to have our freedom be taken by others again
Your violence is too gentle
Emotions are painful and enjoyable
If I say I cannot give up without kissing you
Who can force my will Torturing each other until our hairs are white
Determined to not let go of sadness
After beginning to become entangled
Only to have our freedom be taken by others again
Your violence is too gentle
Emotions are painful and enjoyable
If I say I cannot give up without kissing you
Who can force my will They aren’t accepting enough ",tchen,https://lyricstranslate.com/en/translator/tchen
3,Lay (EXO),https://lyricstranslate.com/en/lay-lyrics.html,水 (H2O) (Shuǐ),https://lyricstranslate.com/en/h2o-h2o.html-2,SindArytiy,https://lyricstranslate.com/en/translator/sindarytiy,,
4,Zhou Shen,https://lyricstranslate.com/en/zhou-shen-lyrics.html,大魚 (Dà yú),https://lyricstranslate.com/en/%E5%A4%A7%E9%AD%9A-dayu-translation.html,rose lee,https://lyricstranslate.com/en/translator/rose-lee,,
5,Meteor Garden (OST) [2018],https://lyricstranslate.com/en/meteor-garden-ost-2018-lyrics.html,花背后的温柔 (Gentle Behind The Flower),https://lyricstranslate.com/en/gentle-behind-flower-gentle-behind-flower.html,"原諒總是沉默的人
距離太遠會變無聲
有些感覺並不適合承認
與其迴避你的眼神
動搖我的一絲可能
那就趁你看穿我以前轉身
以為我多神秘
是你不夠聰明而已
那麼靠近卻又和你保持距離
就不必擔心會失去 守在你的背後比牽起手溫柔
只讓你的背影躺進我的胸口
把愛藏在背後陪我隱形溫柔
像最好的知己不打擾你心動
悲傷也像無痛流淚也用笑容
沒開始的衝動也就沒有最後 與其迴避你的眼神
動搖我的一絲可能
那就趁你看穿我以前轉身
以為我多神秘
是你不夠聰明而已
那麼靠近卻又和你保持距離
就不必擔心會失去 守在你的背後比牽起手溫柔
只讓你的背影躺進我的胸口
把愛藏在背後陪我隱形溫柔
像最好的知己不打擾你心動
像離開的逗留還好你很笨拙
做了有他 夢你就別再回頭 ","Those who forgive are always the taciturn individuals
A distance too long will result in silence
Some feelings are not suitable to be admitted
Rather than avoiding your eye contact
It has stirred a sense of possibility in me
Taking the opportunity before you see through me, I turn around
(You) thought that I was mysterious
Rather, it's just that you aren't smart enough
So near yet maintaining a distance from you
Then there will not be a need to worry about losing you Protecting you from you back is gentler than holding your hand
Only allowing your shadows to lie in my chest
Hiding my love behind my back accompanies my invisible gentleness
Like how a bosom friend does not bother your heart
Sorrow also seems painless, Tears are also accompanied with a smile
An impulse without a beginning also doesn't have an ending Rather than avoiding your eye contact
It has stirred a sense of possibility in me
Taking the opportunity before you see through me, I turn around
(You) thought that I was mysterious
Rather, it's just that you aren't smart enough
So near yet maintaining a distance from you
Then there will not be a need to worry about losing you Protecting you from you back is gentler than holding your hand
Only allowing your shadows to lie in my chest
Hiding my love behind my back accompanies my invisible gentleness
Like how a bosom friend does not bother your heart
Like a lasting leave, Luckily you are stupid
After having dreams of him, Don't look back ",SLoR,https://lyricstranslate.com/en/translator/slor
6,LOVE O2O (OST),https://lyricstranslate.com/en/love-o2o-ost-lyrics.html,一笑倾城 (Yī xiào qīng chéng),https://lyricstranslate.com/en/smile-beautiful-%E4%B8%80%E7%AC%91%E5%80%BE%E5%9F%8E-alluring-smile.html,"我总是轻描淡写
告诉你我的愿望
也给你千言万语
都说不尽的目光 这世界总有人
在忙忙碌碌寻宝藏
却误了浮世骄阳
也错过人间万象 古城里长桥上
人如海车成行
你笑得像光芒
蓦然把我照亮 风轻扬夏未央
林荫路单车响
原来所谓爱情
是这模样 就承认一笑倾城
一见自难忘
说什么情深似海
我却不敢当 最浪漫不过与你
并肩看夕阳
我心之所向 想和你游四方
赏晴雨的风光
想和你铺纸笔
写余生的篇章 笑与泪都分享
管情节多跌宕
我们不散场 你是我偶然听闻
铭感于心的歌唱
也是我惊鸿一瞥
而后拥抱的芬芳 这世界风华正茂
可别辜负好时光
六月风走街穿巷
六月花陌上盛放 古城里长桥上
人如海车成行
你笑得像光芒
蓦然把我照亮 风轻扬夏未央
林荫路单车响
原来所谓爱情
是这模样 就承认一笑倾城
一见自难忘
说什么情深似海
我却不敢当 最浪漫不过与你
并肩看夕阳
我心之所向 想和你游四方
赏晴雨的风光
想和你铺纸笔
写余生的篇章 笑与泪都分享
管情节多跌宕
我们不散场 ","I always understate
my desires to you
but I always gives you the gaze
that a thousand words could never describe There's always someone in the world
busy with treasure hunting
and missing out the important things
and people in life It's so crowded on the long bridge
in that ancient city
your smile is as bright as the stars
that would lit me up  The wind blow through lightly
and the breeze  rings of the bicycle
so this is what
we all called love I've to admit that you've a alluring smile
It's unforgettable
saying what ""I'm forever yours""
those are promises I dare not make The most romantic thing was to
enjoy the sunset view with you
What I wish to do with you are : - to travel around the world with you
- enjoy the seasons and the views
- writing the rest of my life chapter
with you as the main character - sharing the laughter and tears
no matter the ups & downs
we will never break up I accidentally came across
you singing our songs
thanks to the glimpse of chance
now I get to embrace you in my arms The world is in high spirits
so we join in too
The breeze of the June wind and
the full bloomed flowers in June It's so crowded on the long bridge
in that ancient city
your smile is as bright as the stars
that would lit me up  The wind blow through lightly
and the breeze  rings of the bicycle
so this is what
we all called love I've to admit that you've a alluring smile
It's unforgettable
saying what ""I'm forever yours""
those are promises I dare not make The most romantic thing was to
enjoy the sunset view with you
What I wish to do with you are : - to travel around the world with you
- enjoy the seasons and the views
- writing the rest of my life chapter
with you as the main character - sharing the laughter and tears
no matter the ups & downs
we will never break up ",Guiwawa,https://lyricstranslate.com/en/translator/guiwawa
7,WayV,https://lyricstranslate.com/en/wayv-lyrics.html,噩梦 (Come Back) (Èmèng),https://lyricstranslate.com/en/%E5%99%A9%E6%A2%A6-come-back-nightmare-come-back-nightmare.html,"[Intro: Lucas]
Is this what you want?
Go! [Verse 1: Ten, Kun, Winwin]
收到请回答不要沉默
我能凭感觉超越时空
是你正用专属语言呼唤我
在最沉的夜里
(等爱回应) [Post-Chorus: Xiaojun, Ten]
为何你轻微的叹息
已刮起飓风盘旋我天空
每当你入睡你闭眼的夜晚
我的世界黑暗降临 [Chorus]
我要你 Come back
Oh 我连你的呼吸 都不想忘记 (我想你)
奔向我 Come back
原來沒有你的每一天
都是噩梦的领域
Every day
我要你 Come [Hook]
被流浪在爱里我无处可回去
被孤单遗弃是谁让灯光寂静 [Verse 2: Lucas, Kun, Xiaojun, Yangyang]
千万张脸孔在人海中
只有你与我的频率相同
回忆向我涌现 我已得到教训
我没有聆听 你的声音 Sorry
教会我的是你
Come back to me [Post-Chorus: Ten, Xiaojun]
为何你轻微的叹息
已刮起飓风盘旋我天空
每当你入睡你闭眼的夜晚
我的世界黑暗降临 [Chorus]
我要你 Come back
Oh 我连你的呼吸 都不想忘记 (我想你)
奔向我 Come back
原來沒有你的每一天
都是噩梦的领域
Every day
我要你 Come [Hook]
被流浪在爱里我无处可回去
被孤单遗弃是谁让灯光寂静 [Verse 3: Xiaojun, Ten, Kun]
我想念那些时光当我们一起
短暂的像美好的梦境 Oh
仅剩孤单的夜晚
漆黑是我最悲哀的油彩
画着我的徘徊 [Bridge: Hendery, Lucas]
Yeah 再徘徊 stay right there
Just react, that's right that (oh, bang)
你像 Melody 身影挥之不去的幽灵
我的极限与忍耐只到这里 Limit
Straight permanent
Black permanent
Tattoo 抹不去的痕迹
直到永远的印记
如果噩梦也有余韵
我愿为你徘徊到至今
Want you to wake me up now
Come back
(That's why I love you) [Chorus]
我要你 Come back
Oh 我连你的呼吸 都不想忘记 (我想你)
奔向我 Come back
原來沒有你的每一天
都是噩梦的领域
Every day
我要你 Come [Hook]
被流浪在爱里我无处可回去
被孤单遗弃是谁让灯光寂静 [Outro]
我要你 Come back (别徘徊)
被孤单遗弃是你让灯光寂静
我要你 Come back ","Is this what you want?
Go! If you've received it, reply to me, don't stay silent
My senses surpass time and space
Calling me with your language
In the dark of night
(Waiting for your love)  Why are you gently sighing?
Already a hurricane circling in my skies
Every night you close your eyes and fall asleep
The darkness of my world arrives Want you to come back
Oh even your every breath I don't want to forget (Thinking about you)
Run to me, come back
Turns out every day without you
Is the district of nightmares
Every day
Want you to come In the drifting of love I have nowhere to go
In the loneliness of abandonment, who silenced the light? In a sea of faces in the crowd
Only you and I are on the same frequency
The memories resurface, I've learnt my lesson
I didn't listen to your voice, I'm sorry
It's you who taught me
Come back to me Why are you gently sighing?
Already a hurricane circling in my skies
Every night you close your eyes and fall asleep
The darkness of my world arrives Want you to come back
Oh even your every breath I don't want to forget (Thinking about you)
Run to me, come back
Turns out every day without you
Is the district of nightmares
Every day
Want you to come In the drifting of love I have nowhere to go
In the loneliness of abandonment, who silenced the light? I miss the times when we were together
Briefness of a blissful dreamscape, oh
The lonely nights left over
Pitch black is the colour of my deepest sorrow
The painting of my pacing  Yeah hesitating stay right there
Just react, that's right that (oh, bang)
You're like a Melody, ghost-like silhouette
My endurance, tolerance only up to here, Limit
Straight permanent
Black permanent
Tattoo, scars that can't be removed
Everlasting imprints
If nightmares have an aftertaste
I'm willing to hesitate to this moment, for you
Want you to wake me up now
Come back
(That's why I love you) Want you to come back
Oh even your every breath I don't want to forget (Thinking about you)
Run to me, come back
Turns out every day without you
Is the district of nightmares
Every day
Want you to come In the drifting of love I have nowhere to go
In the loneliness of abandonment, who silenced the light? Want you to come back (Stop hesitating)
In the loneliness of abandonment, it's you who silenced the light
I want you to come back. ",lumiinosity,https://lyricstranslate.com/en/translator/lumiinosity
8,Hua Chenyu,https://lyricstranslate.com/en/hua-chenyu-lyrics.html,国王与乞丐 [Kings and Paupers] (Guówáng yǔ qǐgài),https://lyricstranslate.com/en/gu%C3%B3w%C3%A1ng-y%C7%94-q%C7%90g%C3%A0i-%E5%9B%BD%E7%8E%8B%E4%B8%8E%E4%B9%9E%E4%B8%90-king-and-beggar.html,"怎么了怎么了
一份爱失去了光泽
面对面背对背
反复挣扎怎么都痛
以为爱坚固像石头
谁知一秒钟就碎落
难道心痛都要不断打磨 抱紧你的我比国王富有
曾多么快乐
失去你的我比乞丐落魄
痛多么深刻 噢喔噢喔
噢喔噢喔
谁哭着谁笑着
一人分饰两个角色
越执迷越折磨
回忆还在煽风点火
明知往前就会坠落
抱着遗憾重返寂寞
爱到最后究竟还剩什么 抱紧你的我比国王富有
曾多么快乐
失去你的我比乞丐落魄
痛多么深刻 当一切结束了安静了过去了
为什么还拥有一万个舍不得
喔喔
谁又能感受 回忆里的我比国王富有
奢侈的快乐
失去你以后比乞丐落魄
心痛如刀割 怀念那时你安静陪着我
噢噢
柔软时光里最美的挥霍
喔喔
爱有多快乐
痛有多深刻
痛有多深刻 ","What's going on
Love without light
Face to face or back to back
Struggle repeatedly but still aching
Had thought love was hard as rock
But it broke apart within a second
Should I ever polish my heart even if it hurts Holding you tightly I am richer than a king
Used to be happy
Losing you I am poorer than a beggar
Deeply painful Oh oh
Oh oh
Who cries and who laughs
One plays two roles simultaneously
The more determined, the more agonizing
Memories are still playing this trick
Knowing to fall if I took one step ahead
Turning back to loneliness with pity
What's still left after loving Holding you tightly I am richer than a king
Used to be happy
Losing you I am poorer than a beggar
Deeply painful When everything ends in silence
Why do you still miss it
Oh oh
Who can feel it In my memories I am richer than a king
Too much happiness
Losing you I am poorer than a beggar
Painful as being cut Missing you accompanied me silently
Oh oh
Squandering beautifully in softened time
Oh oh
How happy love is
How deep pain is
How deep pain is ",Туна Ченевская,https://lyricstranslate.com/en/translator/%D1%82%D1%83%D0%BD%D0%B0-%D1%87%D0%B5%D0%BD%D0%B5%D0%B2%D1%81%D0%BA%D0%B0%D1%8F
9,G.E.M.,https://lyricstranslate.com/en/gem-lyrics.html,泡沬 [Bubble] (Pào mò),https://lyricstranslate.com/en/%E6%B3%A1%E6%B2%AC-foam-bubbles.html,"阳光下的泡沫　是彩色的
就像被骗的我　是幸福的
追究什么对错
你的谎言　基于你还爱我 美丽的泡沫　虽然一刹花火
你所有承诺　虽然都太脆弱
但爱像泡沫　
如果能够看破　有什么难过 早该知道泡沫　一触就破
就像已伤的心　不胜折磨
也不是谁的错　
谎言再多　基于你还爱我 美丽的泡沫　虽然一刹花火
你所有承诺　虽然都太脆弱
但爱像泡沫
如果能够看破　有什么难过 再美的花朵　盛开过就凋落
再亮眼的星　一闪过就堕落
爱本是泡沫　
如果能够看破 有什么难过 为什么难过　有什么难过 全都是泡沫　只一刹的花火
你所有承诺　全部都太脆弱
而你的轮廓　怪我没有看破　
才如此难过 相爱的把握　要如何再搜索
相拥着寂寞　难道就不寂寞
爱本是泡沫　怪我没有看破
才如此难过 在雨下的泡沫　一触就破
当初炽热的心　早已沉没
说什么你爱我　如果骗我　
我宁愿你沉默 ","Bubbles under sunlight is colourful.
Just like me, the one being deceived, is well-being.
Who should I blame?
You tell lies since you still love me. Beautiful bubbles just like sudden fireworks,
Although your promises seem too fragile,
love just like bubbles.
If I can see it through, why should I upset? I should have known bubbles are fragile.
Just like my injured heart, cannot stand torture anymore.
It is not anyone's fault.
Even the lies become frequent, since you still love me. Beautiful bubbles just like sudden fireworks,
Although your promises seem too fragile,
love just like bubbles.
If I can see it through, why should I upset? Even prettier flowers, they will die after blossoming.
Even brighter stars, they will collapse after shining.
Love is bubbles in fact.
If I can see it through, why should I upset?  Why should I upset? Why should I upset? Everything is bubbles just like sudden fireworks,
Your promises are too fragile.
I should be blamed not to see your true colours through.
So, I am upset. How can I search our love evidence?
Is it possible that I am not lonely when embracing loneliness?
Love is bubbles in fact and I should be blamed not to see it through.
So, I am upset. Bubbles under raindrops is fragile.
My passionate heart has sunk already.
Don't tell me that you love me. If you intend to cheat me,
I would prefer you to keep silent. ",secantt,https://lyricstranslate.com/en/translator/secantt
