,Artist,Artist Link,Song,Song Link,Chinese Lyrics,English Lyrics,Author,Author Link
0,Vic Zhou,https://lyricstranslate.com/en/vic-zhou-lyrics.html,Make A Wish,https://lyricstranslate.com/en/make-wish-make-wish.html-0,"当泪似流星 滑过手心
握不紧 别伤心 不要紧
这个世界还年轻 爱没有翅膀
也能飞行到你心
别害怕 别担心
难道你没感应 这爱情 好坚定 Will you make a wish?
Make a wish
闭上眼睛
愿望是口井
Make a wish
Make a wish
你会听见真诚的回音 让我们Make a wish
Make a wish
一起约定看最美风景
这一切都不会是梦境 当泪似流星 滑过手心
握不紧 别伤心 不要紧
我们的梦还年轻 爱没有翅膀
也能飞行到你心
别害怕 别担心
难道你没感应 这爱情 好坚定 Will you make a wish?
Make a wish
闭上眼睛
愿望是口井
Make a wish
Make a wish
你会听见真诚的回音
让我们Make a wish
Make a wish
一起约定看最美风景
这一切都不会是梦境 (x2) 只要你全心全意相信 ","Make a wish When tears are like a comet
Sliding down your palm
Can't hold it tight Don't be sad
It's all right
This world is still young
(Our dreams are still young) Love doesn't have wings
But it can still fly to your heart
Don't be afraid
Don't worry
Can't you sense
This love
Is so strong Will you make a wish?
Make a wish
Close your eyes
A wish is a well
Make a wish
Make a wish
You'll hear a sincere echo Let us make a wish
Make a wish
Promise together we'll see the most beautiful scenery
All this won't be a dream As long as you believe with all your heart ",embryonique,https://lyricstranslate.com/en/translator/embryonique
1,FAKE TYPE.,https://lyricstranslate.com/en/fake-type-lyrics.html,Yummy Yummy Yummy,https://lyricstranslate.com/en/yummy-yummy-yummy-yummy-yummy-yummy.html,Myoena,https://lyricstranslate.com/en/translator/myoena,,
2,Omnipotent Youth Society (Band),https://lyricstranslate.com/en/omnipotent-youth-society-lyrics.html,杀死那个石家庄人 (Shā sǐ nà gè shí jiā zhuāng rén),https://lyricstranslate.com/en/%E6%9D%80%E6%AD%BB%E9%82%A3%E4%B8%AA%E7%9F%B3%E5%AE%B6%E5%BA%84%E4%BA%BA-kill-one-shijiazhuang.html,"傍晚六點下班
換掉藥廠的衣裳
妻子在熬粥
我去喝幾瓶啤酒
如此生活三十年
直到大廈崩塌
雲層深處的黑暗啊
淹沒心底的景觀  在八角櫃檯
瘋狂的人民商場
用一張假鈔
買一把假槍
保衛她的生活
直到大廈崩塌
夜幕覆蓋華北平原
憂傷浸透她的臉  河北師大附中
乒乓少年背向我
沉默地注視
無法離開的教室
生活在經驗裏
直到大廈崩塌
一萬匹脫韁的馬
在他腦海中奔跑  如此生活三十年
直到大廈崩塌
一萬匹脫韁的馬
在他腦海中奔跑
如此生活三十年
直到大廈崩塌
雲層深處的黑暗啊
淹沒心底的景觀 ","Finished work at 6 PM
I changed out of the drug factory uniform
The wife's making porridge
I go drink a few bottles of beer
Lived this way for thirty years
Until the building collapsed
Ah, the deep, dark clouds
Are drowning the view in my heart At the octogonal sales counter
In the crazy people's market
Used a counterfeit bill
To buy an illegal gun
Defending her way of life
Until the building collapsed
Night's darkness covers the North China Plain
Her face is soaked in distress At Hebei prep high school
A ping-pong playing boy faced away from me
I silently observe
Unable to leave behind the classroom
Living in past experience
Until the building collapsed.
Ten thousand horses off-leash
Are running within his mind Lived this way for thirty years
Until the building collapsed
Ten thousand horses off-leash
Are running within his mind
Lived this way for thirty years
Until the building collapsed
Ah, the deep, dark clouds
Are drowning the view in my heart ",puggy31,https://lyricstranslate.com/en/translator/puggy31
3,Steve Chou,https://lyricstranslate.com/en/%E5%91%A8%E5%82%B3%E9%9B%84-lyrics.html,黃昏 (Huáng hūn),https://lyricstranslate.com/en/%E9%BB%83%E6%98%8F-dusk-%E9%BB%83%E6%98%8F.html-2,"过完整个夏天
忧伤并没有好一些
开车行驶在公路无际无边
有离开自己的感觉 唱不完一首歌
疲倦还剩下黑眼圈
感情的世界伤害在所难免
黄昏再美终要黑夜 依然记得从你口中说出再见
坚决如铁
昏暗中有种烈日灼身的错觉
黄昏的地平线
划出一句离别
爱情进入永夜
依然记得从你眼中滑落的泪
伤心欲绝
混乱中有种热泪烧伤的错觉
黄昏的地平线
割断幸福喜悦
相爱已经幻灭 ","After the whole summer,
my sadness still did not improve.
Driving my car on the vast, boundless roads,
I feel that I'm getting out of touch with myself. The song that I could not finish singing,
Left me so tired that there are rings around my eyes.
It is inevitable to get hurt in the realm of love,
No matter how beautiful the dusk is, the dark night must follow. I recall that you said, ""Goodbye""
with a tone of steel,
I had a delusion of being burnt by the sun in the darkening dusk.
The horizon at dusk,
Drew out your line of, ""Farewell.""
Love plunges into eternal night. I still remember the tears falling from your desolated eyes.
.
In the confusion, there is an illusion of being burnt by the hot tears.
The horizon at dusk,
Severed happiness and joy.
Love has already been destroyed ",pabloli,https://lyricstranslate.com/en/translator/pabloli
4,Lay (EXO),https://lyricstranslate.com/en/lay-lyrics.html,面罩 (Mask) (Miànzhào),https://lyricstranslate.com/en/mask-%E9%9D%A2%E7%BD%A9-mask.html,FairyTc,https://lyricstranslate.com/en/translator/fairytc,,
5,The Heaven Sword and Dragon Saber (OST),https://lyricstranslate.com/en/heaven-sword-and-dragon-saber-ost-lyrics.html,此生惟你 (Cǐ shēng wéi nǐ),https://lyricstranslate.com/en/%E6%AD%A4%E7%94%9F%E6%83%9F%E4%BD%A0-c%C7%90-sh%C4%93ng-w%C3%A9i-n%C7%90-only-you.html,"以為這世間 長夜漫漫
你為我點亮 孤燈一盞
所有的愛恨 便得釋然
執手許諾 曲終人不散  人世的糾纏 難舍難斷
命註定不安 心為你輾轉
思念可以倒轉那些片段
今生一場夢 永世不換  此生相守相欠
愛意蕩漾身邊
梳畫無邊繾綣
手落在你眉間  此生為你不變
就算辜負歲月
白首不分不厭
惟你刻骨眷念  此生相守相欠
愛意蕩漾身邊
梳畫無邊繾綣
手落在你眉間  此生為你不變
就算辜負歲月
白首不分不厭
惟你刻骨眷念 ","I thought that there were long nights in the world.
You came to light up a lonely lamb for me.
Let all of love and hatred be relieved.
Hold my hands and keep them forever.1 It's hard to abandon the entanglement of the world.
It's all written in the stars that my restless heart is only for you.
If my missing could reverse those fragments of the past,
I would never change my dream because of you. We will live together for the rest of our lives.
There are quite amorous between us.
Looking fine for you2 with sentimental attachment endlessly,
I gaze at you with deep feeling all the time. 3 My heart follows you forever and ever. 4
Even if I waste my time and let it down,
I want to grow old together with you and never let go.
You're under my skin and burning in my bloodstream. We will live together for the rest of our lives.
There are quite amorous between us.
Looking fine for you with sentimental attachment endlessly.
I gaze at you with deep feeling. My heart follows you forever and ever.
Even if I waste my time and let it down,
I want to grow old together with you and never let go.
You're under my skin and burning in my bloodstream.5 ",Joyce Su,https://lyricstranslate.com/en/translator/joyce-su
6,Fei Yu Ching,https://lyricstranslate.com/en/fei-yu-ching-lyrics.html,情深往事 (qíng shēn wǎng shì),https://lyricstranslate.com/en/%E6%83%85%E6%B7%B1%E5%BE%80%E4%BA%8B-past-our-profound-love.html,"其实我不想离开，
只是有太多无奈
几时才问得明白，
这结局谁在安排。 **忍不住再走回来，
回头路一片沧海，
***轻轻把窗门推开，
往事又涌进胸怀。 *曾经是个不到最后关头绝不走的人，
曾经是盏不到蜡炬成灰绝不熄的灯，
如今残梦已时早晨，
清醒有几人，
还不是为了情深太难舍。 *情不自禁，
重新撬开心中这把锁，
想起当初决定离开的时候，
也是心痛难忍情深难舍路难走；  *情不自禁，
多年以后还是走回来，
想起当初决定留下的时候，
也是为了无怨为了无悔为了爱。 Repeat *,**,*** ","Actually I didn't want to leave,
But I couldn't help in too many things,
When could I get the whole picture?
Who arranged the end? **Can't resist to return again,
The way back is a wide ocean.
***Gently I push open the window,
Past events rush into my heart again. *I was someone who wouldn't leave till the very last moment.
I was a lamp which never extinguished before its candle burned to ashes.
Now the remnant dream ends at dawn.
How many people are sober?
Isn't it due to the difficulty to let go that profound love? *I cannot hold myself
To pry this lock in my heart again.
Remember at the time when I decided to leave,
I also had unbearable heartache to let go this profound love and walk on the difficult path; *I cannot hold myself
To return again after many years.
Remember at the time when I decided to stay,
It was also due to love without complaint, regret.  Repeat *,**,*** ",hankeat,https://lyricstranslate.com/en/translator/hankeat
7,Han Bao Yi,https://lyricstranslate.com/en/han-bao-yi-lyrics.html,粉红色的回忆 (Fen Hong Se De Hui Yi),https://lyricstranslate.com/en/%E7%B2%89%E7%BA%A2%E8%89%B2%E7%9A%84%E5%9B%9E%E5%BF%86-fen-hong-se-de-hui-yi-pink-coloured-memory.html,classicwinter,https://lyricstranslate.com/en/translator/classicwinter,,
8,Hua Chenyu,https://lyricstranslate.com/en/hua-chenyu-lyrics.html,我管你 [I don't care] (wǒ guǎn nǐ),https://lyricstranslate.com/en/i-dont-care-w%C7%92-gu%C7%8En-n%C7%90-%E6%88%91%E7%AE%A1%E4%BD%A0-i-dont-care.html,"我不大接受
什么被委屈别还手
我不太能够
顺应所谓的大潮流
噢噢噢噢噢噢噢噢噢
噢噢噢噢噢噢噢噢噢
花臂或刺头
应该没说明我所有
我不找借口
懂的人自然能看透
噢噢噢噢噢噢噢噢噢
噢噢噢噢噢噢噢噢噢
没想辩解太多
别用外表解说我
误解不愿反驳
我拒绝只谈如果
我管你的感受
噢噢噢噢噢噢噢噢噢
我管你的感受
噢噢噢噢噢噢噢噢噢
我管你的感受
噢噢噢噢噢噢噢噢噢
我管你的感受
噢噢噢噢噢噢噢噢噢
管你什么想法
我是我自己的表达
管你什么看法
我的世界我来浮夸
噢噢噢噢
我管你说得多复杂
噢噢噢噢
我不要被谁给教化
管你什么说法
当我是傻或是笑话
管你什么办法
别幻想我沦落倒下
噢噢噢噢噢噢噢噢噢
噢噢噢噢噢噢噢噢噢
太多选择背后
绝望像没有出口
不如握紧拳头
这就是我的所有
我管你的感受
噢噢噢噢噢噢噢
我管你的感受
噢噢噢噢噢噢噢
我管你的感受
噢噢噢噢噢噢噢
我管你的感受
噢噢噢噢噢噢噢
管你多怪罪
你没资格评头论足
管你自以为
你的意见我真不在乎
噢噢噢噢噢噢噢
管你什么想法
我是我自己的表达
管你什么看法
我的世界我来浮夸
噢噢噢噢
我管你说得多复杂
噢噢噢噢
我不要被谁给教化
管你什么说法
当我是傻或是笑话
管你什么办法
别幻想我沦落倒下
噢噢噢噢噢噢噢
噢噢噢噢噢噢噢 ","I don't accept
Not fighting back when I'm hurt
I cannot
Follow the so-called trend
Ohhh
Ohhh
Brachial arm or faultfinder
Can't fully explain who I am
I don't make excuses
The ones who understand me can see thorough
Ohhh
Ohhh
I don't wanna argue too much
Don't judge me by my cover
I don't wanna give back answers when I'm misunderstood
I refuse only to talk about the ""ifs""
I don't care how you feel
Ohhh
I don't care how you feel
Ohhh
I don't care how you feel
Ohhh
I don't care how you feel
Ohhh
Whatever you think
I express myself only
Whatever your view is
I am at large in my own world
Ohhh
I don't care how complicatedly you talk
Ohhh
I don't wanna be educated by anyone
Whatever you say
As if I were a fool or a joke
Whatever you do
Don't ever imagine that I would lose
Ohhh
Ohhh
Behind too many options
Despair is like no exit
Why not hold your fists tightly
This is all I have
I don't care how you feel
Ohhh
I don't care how you feel
Ohhh
I don't care how you feel
Ohhh
I don't care how you feel
Ohhh
Whatever you blame me for
You don't have the right to judge me
Whoever you think that you are
I really don't care about your opinions
Whatever you think
I express myself only
Whatever your view is
I am at large in my own world
Ohhh
I don't care how complicatedly you talk
Ohhh
I don't wanna be educated by anyone
Whatever you say
As if I were a fool or a joke
Whatever you do
Don't ever imagine that I would lose
Ohhh
Ohhh ",Туна Ченевская,https://lyricstranslate.com/en/translator/%D1%82%D1%83%D0%BD%D0%B0-%D1%87%D0%B5%D0%BD%D0%B5%D0%B2%D1%81%D0%BA%D0%B0%D1%8F
9,Ren Ran,https://lyricstranslate.com/en/ren-ran-lyrics.html,走不出的回忆 (Zou Bu Chu De Hui Yi),https://lyricstranslate.com/en/zou-bu-chu-de-hui-yi-memories-i-cannot-walk-out.html,"终究会选个爱自己的人
然后忘掉那个深爱着的人
收起天真 不再 期待永恒 任凭你和日子长满灰尘
然后关上门打开了另一扇门
或许开始 一段新的旅程
就能完整 可走到哪里 还是会有惦记
熟悉的场景 都和你有联系
明明是想忘记 却偏偏又想你
这样的剧情 真的 没道理 可走到哪里 却走不出回忆
虽然我很努力 试着去忘记
一直告诫自己 我们不会再有交集
有些事真的回不去 终究会选个爱自己的人
然后忘掉那个深爱着的人
收起天真 不再 期待永恒 任凭你和日子长满灰尘
然后关上门打开了另一扇门
或许开始 一段新的旅程
就能完整 可走到哪里 还是会有惦记
熟悉的场景 都和你有联系
明明是想忘记 却偏偏又想你
这样的剧情 真的 没道理 可走到哪里 却走不出回忆
虽然我很努力 试着去忘记
一直告诫自己 我们不会再有交集
有些事真的回不去 可走到哪里 却走不出回忆
虽然我很努力 试着去忘记
一直告诫自己 我们不会再有交集
有些事真的回不去 ","Eventually, I'll end up choosing someone who loves me
And then forget the one I love deeply
I'll stop being naive, stop looking forward to forever Letting you and days collect dust
Closing one door and opening another
Perhaps I'll start a new journey
which will make me complete But no matter where I go, I still think about you
Every familiar place is related to you
Although I definitely want to forget, but I still think of you
This kind of plot really makes no sense But no matter where I go, I cannot walk out of the memories
Although I try really hard, trying to forget
I keep warning myself, we'll never cross paths again
Some things really cannot be revisited Eventually, I'll end up choosing someone who loves me
And then forget the one I love deeply
I'll stop being naive, stop looking forward to forever Letting you and days collect dust
Closing one door and opening another
Perhaps I'll start a new journey
which will make me complete But no matter where I go, I still think about you
Every familiar place is related to you
Although I definitely want to forget, but I still think of you
This kind of plot really makes no sense But no matter where I go, I cannot walk out of the memories
Although I try really hard, trying to forget
I always warn myself, we'll never cross paths again
Some things really cannot be revisited But no matter where I go, I cannot walk out of the memories
Although I try really hard, trying to forget
I always warn myself, we'll never cross paths again
Some things really cannot be revisited ",BendersB,https://lyricstranslate.com/en/translator/bendersb
